these are the available effects and what they do.
X is the effect strength
Y is the effect argument


addCharges                | card gains X charges
allTowersLifespanBonus    | all towers on the map last X waves longer
armor                     | enemy receives X less damage from every hit, with a minimum of 1 damage
budgetPercentageChange    | wave budget is increased by X percent
changeWaveType            | wave type is changed to Y
damagePlayer              | player takes X damage
discardRandomCard         | player discards up to X cards chosen at random
drawCard                  | player draws X cards
fixedSpawnCount           | waves of this enemy type always spawn exactly this many enemies.  best when used with stat scaling effects
invScaleAttackWithHealth  | monster deals less and less damage as it gets injured
reduceEnemyEffectOnDamage | hit enemies have the strength of effect Y reduced by X
regeneration			  | enemy recovers X health per second
returnsToTopOfDeck        | this card returns to the top of the deck when played
scaleHealthWithBudget     | enemy health scales up with wave budget
shuffle                   | shuffles the deck
targetAll                 | tower targets all enemies in range
targetArmor               | tower prioritizes targets with the highest armor
targetHealth              | tower prioritizes targets with the highest health
targetMultishot           | tower attacks up to X enemies closest to their goals
targetRandom              | tower attacks a target at random
targetSpeed               | tower prioritizes targets with the highest speed
timePercentageChange      | wave time is increased by X percent
